message_id,translation
100,인간
101,엘프
102,드워프
103,노움
104,호빗
105,페어리
106,리저드맨
107,드라콘
108,펠퍼
109,라울프
110,무크
119,*취소*
120,전사
121,마법사
122,사제
123,도적
124,레인저
125,연금술사
126,바드
127,사이오닉
128,발키리
129,비숍
130,로드
131,사무라이
132,몽크
133,닌자
140,남성
141,여성
200,레벨
201,등급
202,경험치
203,MKS
204,근력
205,지능
206,신앙
207,체력
208,민첩
209,속도
210,지각
211,업보
212, 생명력
213,스태미나
214,상태
215,GP
216,운반 한도 
217,방어도
300,<0x1B><0x08><0x09><0x0A><0x0B><0x0D>
301,장착
302,주문
303,거래
304,감정
305,보관
306,합치기
307,사용
308,버리기
309,스킬
310,편집
311,확인
312,나가기
350,선택 $ >
351,주 무기
352,보조 아이템
353,기타 아이템
354,투구
355,몸통 방어구
356,다리 방어구
357,건틀릿
358,장화
359,없음
380,소지한 아이템의 힘을 발동하시겠습니까?
381,아니요
382,예
400,어떤 아이템을 사용합니까?
401,없음
402,어떤 아이템을 버립니까?
403,어떤 아이템을 거래합니까?
404,거래할 골드 (수량) >
405,거래할 수량 >
406,어떤 아이템을 합칩니까?
407,어떤 아이템과 합칩니까?
408,어느 아이템에 사용합니까?
409,계속하려면 <0x15> 누르기
450,어떤 아이템을 감정합니까?
451,PS
452,AC
453,LB
454,HEDGHFLDFRM
455,MF
456,FMPTRABPVBLSMN
457,한손
458,양손
459, 
460,머리
461,몸통
462,다리
463,손
464,발
465,저주:
466,피해
467,명중
468,재생
469,특수 효과:
470,수면
471,마비
472,독
473,석화
474,분쇄
475,흡수
476,필살
477,기절
478,D
479,!@#$%^&*?:
480,최대
481,어느 아이템에 시전합니까?
482,* 실패 *
500,누구를 확인합니까?
501,누구와 거래합니까?
502,누구에게 시전합니까?
503,나가기
504,누구에게 사용합니까?
600,무기술
601,신체
602,개인
603,학문
604,나가기
605,스킬 보너스를 획득했습니다!
606,<0x11><0x12> 스킬 조정
607, <0x13><0x14> 스킬 선택
608,다음 분류로 가려면 <0x15> 누르기
